trade_usdc,exec_price_weth_per_usdc,slippage_frac,unfilled_raw0
1000.0,0.00033913864210316914,-1.6350254893093024e-06,0.0
2000.0,0.00033913919654640265,-3.2698853112471905e-06,0.0
5000.0,0.00033914085999903524,-8.174827260812992e-06,0.0
10000.0,0.00033914363244467587,-1.6349803006594655e-05,0.0
20000.0,0.00033914917746093783,-3.270012302267725e-05,0.0
50000.0,0.00033916581823177665,-8.176795541036571e-05,0.0
100000.0,0.0003391935736922251,-0.00016360913298063906,0.0
200000.0,0.00033924910684637774,-0.0003273570462422894,0.0
500000.0,0.0003394158397938427,-0.0008189943867811383,0.0
1000000.0,0.0003403120466765651,-0.0034615960746504568,0.0
2000000.0,0.0003454692531131234,-0.018668400102465645,0.0
4000000.0,0.0003546181554206283,-0.04564532378611419,0.0
